type,name,email,createdAt,sku,description,price,active,qty,category,order,items,status,method,reference,expiresAt
CUSTOMER,Customer 176,customer176@example.com,2025-09-23T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 177,customer177@example.com,2025-09-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 178,customer178@example.com,2025-03-12T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 179,customer179@example.com,2025-06-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 180,customer180@example.com,2025-10-18T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 181,customer181@example.com,2025-09-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 182,customer182@example.com,2025-07-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 183,customer183@example.com,2025-02-26T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 184,customer184@example.com,2025-09-30T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 185,customer185@example.com,2025-08-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 186,customer186@example.com,2025-11-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 187,customer187@example.com,2025-12-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 188,customer188@example.com,2025-04-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 189,customer189@example.com,2025-01-23T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 190,customer190@example.com,2025-05-06T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 191,customer191@example.com,2025-09-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 192,customer192@example.com,2025-12-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 193,customer193@example.com,2025-01-24T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 194,customer194@example.com,2025-10-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 195,customer195@example.com,2025-03-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 196,customer196@example.com,2025-09-21T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 197,customer197@example.com,2025-03-07T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 198,customer198@example.com,2025-05-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 199,customer199@example.com,2025-12-03T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 200,customer200@example.com,2025-08-05T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 201,customer201@example.com,2025-06-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 202,customer202@example.com,2025-03-25T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 203,customer203@example.com,2025-11-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 204,customer204@example.com,2025-11-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 205,customer205@example.com,2025-05-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 206,customer206@example.com,2025-03-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 207,customer207@example.com,2025-03-26T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 208,customer208@example.com,2025-01-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 209,customer209@example.com,2025-06-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 210,customer210@example.com,2025-07-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 211,customer211@example.com,2025-02-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 212,customer212@example.com,2025-06-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 213,customer213@example.com,2025-03-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 214,customer214@example.com,2025-11-11T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 215,customer215@example.com,2025-11-03T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 216,customer216@example.com,2025-11-20T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 217,customer217@example.com,2025-06-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 218,customer218@example.com,2025-02-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 219,customer219@example.com,2025-02-25T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 220,customer220@example.com,2025-12-18T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 221,customer221@example.com,2025-01-25T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 222,customer222@example.com,2025-09-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 223,customer223@example.com,2025-10-03T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 224,customer224@example.com,2026-01-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 225,customer225@example.com,2025-09-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 226,customer226@example.com,2025-12-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 227,customer227@example.com,2025-10-14T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 228,customer228@example.com,2025-10-16T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 229,customer229@example.com,2025-02-09T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 230,customer230@example.com,2025-07-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 231,customer231@example.com,2025-12-20T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 232,customer232@example.com,2025-04-05T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 233,customer233@example.com,2025-12-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 234,customer234@example.com,2025-08-31T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 235,customer235@example.com,2026-01-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 236,customer236@example.com,2025-09-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 237,customer237@example.com,2025-02-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 238,customer238@example.com,2025-12-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 239,customer239@example.com,2025-05-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 240,customer240@example.com,2025-04-21T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 241,customer241@example.com,2025-12-19T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 242,customer242@example.com,2025-05-12T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 243,customer243@example.com,2025-03-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 244,customer244@example.com,2025-11-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 245,customer245@example.com,2025-02-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 246,customer246@example.com,2025-02-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 247,customer247@example.com,2025-11-05T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 248,customer248@example.com,2025-10-09T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 249,customer249@example.com,2025-03-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 250,customer250@example.com,2025-06-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 251,customer251@example.com,2025-02-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 252,customer252@example.com,2025-05-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 253,customer253@example.com,2025-05-21T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 254,customer254@example.com,2025-04-23T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 255,customer255@example.com,2025-04-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 256,customer256@example.com,2025-06-07T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 257,customer257@example.com,2025-06-20T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 258,customer258@example.com,2025-06-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 259,customer259@example.com,2025-09-18T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 260,customer260@example.com,2025-05-25T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 261,customer261@example.com,2025-03-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 262,customer262@example.com,2025-02-12T10:15:28.4216102,,,,,,,,,,,,,
